rid,fluorouracil_A375,fluorouracil_HT29,fluorouracil_MCF7,veliparib_A375,veliparib_HT29,MK-1775_A375,MK-1775_HT29,NVP-BEZ235_A375,NVP-BEZ235_HT29,bortezomib_A375,bortezomib_HT29,bortezomib_MCF7,dasatinib_A375,dasatinib_A549,dasatinib_HT29,dasatinib_LNCAP,dasatinib_MCF7,dinaciclib_A375,dinaciclib_HT29,erlotinib_A375,erlotinib_HT29,geldanamycin_A375,geldanamycin_HT29,geldanamycin_LNCAP,lapatinib_A375,lapatinib_A549,lapatinib_HT29,lapatinib_LNCAP,lapatinib_MCF7,MK-2206_A375,MK-2206_HT29,MK-2206_LNCAP,PD-0325901_A375,PD-0325901_HT29,PD-0325901_LNCAP,sorafenib_A375,sorafenib_A549,sorafenib_HT29,sorafenib_LNCAP,sorafenib_MCF7,sunitinib_A375,sunitinib_A549,sunitinib_HT29,sunitinib_MCF7,temozolomide_A375,temozolomide_HT29,temozolomide_MCF7,vorinostat_A375,vorinostat_A549,vorinostat_HT29,vorinostat_MCF7,SN-38_A375,SN-38_HT29,SN-38_MCF7,doxorubicin_A375,doxorubicin_HT29,etoposide_A375,etoposide_HT29,gemcitabine_A375,gemcitabine_HT29,metformin_A375,metformin_HT29,methoxsalen_HT29,methoxsalen_MCF7,ifosfamide_HT29,ifosfamide_MCF7,imiquimod_HT29,imiquimod_MCF7,imatinib_A549,imatinib_HT29,imatinib_MCF7,mercaptopurine_HT29,mercaptopurine_MCF7,hydroxyurea_HT29,hydroxyurea_MCF7,nilotinib_HT29,nilotinib_MCF7,nilotinib_A549,romidepsin_HT29,romidepsin_MCF7,ixabepilone_HT29,ixabepilone_MCF7,pralatrexate_HT29,pralatrexate_MCF7,anastrozole_HT29,anastrozole_MCF7,raloxifene_HT29,raloxifene_MCF7,letrozole_HT29,letrozole_MCF7,allopurinol_HT29,allopurinol_MCF7,mitoxantrone_HT29,mitoxantrone_A549,mitoxantrone_MCF7,thalidomide_HT29,thalidomide_MCF7,chlorambucil_HT29,chlorambucil_MCF7,gefitinib_A549,gefitinib_HT29,gefitinib_MCF7,thioguanine_HT29,thioguanine_MCF7,celecoxib_MCF7,celecoxib_HT29,busulfan_HT29,busulfan_MCF7,altretamine_HT29,altretamine_MCF7,lenalidomide_HT29,lenalidomide_MCF7,vemurafenib_A549,vemurafenib_HT29,vemurafenib_MCF7,ruxolitinib_A549,ruxolitinib_HT29,ruxolitinib_MCF7,crizotinib_A549,crizotinib_HT29,crizotinib_MCF7,vismodegib_HT29,vismodegib_MCF7,vandetanib_A549,vandetanib_HT29,vandetanib_MCF7
780,-0.45403358,0.556375,-0.24193148,0.23265497,0.13237473,0.9334416,-0.2865272,0.57151294,2.0818326,4.5197825,0.2598422,-2.891501,0.6325796,0.21907295,0.57777596,0.06808016,1.5065061,3.388056,2.2475746,-0.56907934,-0.2842584,0.94542885,0.4053243,0.79968363,-0.09349687,0.48230192,-0.055849105,-0.6055177,-0.3654914,0.8688815,1.1151198,0.9652919,6.016274,2.5259225,0.30085877,0.5590028,-0.681765,0.6286695,-0.0834601,0.46546352,1.0365362,-0.2199416,-0.09226846,0.7103202,0.42031893,0.098379485,-0.82995516,-0.9442357,-0.16416845,-0.015181475,-0.17614743,1.5412148,1.3268946,-1.0335257,1.773997,0.5219229,0.1488626,-0.25274602,-2.7325017,0.8801112,-0.24930818,1.0521375,0.05402161,0.09933532,1.9379134,1.2468079,-0.09959102,0.67877203,-0.7913484,0.58290666,-0.24701807,1.0063828,-0.3137609,0.3111924,-0.22880943,-0.46273816,-0.53736436,-0.70312744,-1.4969193,-3.2437797,0.46146333,-1.5464724,1.0862952,-0.117891334,-0.016113222,0.53961426,-0.112591356,1.0371188,0.08819731,-0.511151,0.2999278,0.22302647,0.22458224,2.8160703,0.18683434,0.034413595,-0.20181453,-0.071542844,0.13424174,0.22144665,-0.2199052,0.21213594,0.51941466,-0.7053144,0.7489596,0.28637466,-0.30815625,-0.3087406,-0.015236725,1.1018077,1.0451539,0.48610547,-0.47910324,0.68418175,-0.10640734,-0.050477434,-0.18995275,0.14263457,0.13257337,0.37889037,0.7889458,0.12190259,-0.3870062,0.3898958,0.065461785,1.0882726
7849,-0.06126298,-0.30301663,-0.070943035,-0.063150376,0.07377878,1.3492709,-0.16848983,1.0295212,1.1758595,4.2408633,1.787295,0.18879053,-0.5279266,0.3209534,1.013158,0.35463628,-0.0412411,4.007911,1.0649914,-0.32716608,-0.23364353,-0.24721245,0.058614444,0.44942424,-0.16453421,0.09151542,-0.27168313,-0.13471119,0.72079587,-0.13072182,0.5454404,-0.039961424,1.1074662,3.2616076,-0.23206146,0.37180772,0.20033087,-0.20783912,0.5484255,0.6430044,-0.0406065,0.41351637,1.0068616,0.04430722,0.0024838324,-0.14722691,-0.08894173,-0.1604098,0.8887152,0.257513,-0.20435636,4.201388,1.1640308,2.2886732,2.3650057,1.169432,1.7213233,-0.32352057,6.4706707,0.65574294,0.14780599,0.14526181,-0.2968713,-0.14830764,0.9588395,0.31309363,0.14365043,0.44897056,-0.31876656,-0.32466796,-0.22280543,0.15088685,0.4242692,-0.7290542,-0.008787334,0.13528661,-0.1257971,-0.11675888,0.11237225,1.5099474,-1.6064607,0.8374645,1.8475294,0.3543938,-0.0037811995,1.0657911,-0.8553472,0.33749688,-0.17742455,0.6007256,-0.29759267,0.142056,0.766428,1.4920976,0.522125,-0.45171633,0.34839413,-0.17199153,-0.2717997,0.14763397,-0.29988217,0.20772997,0.2858781,0.348407,-0.9299683,0.14268225,0.77652913,-0.1467532,0.35171834,0.4631842,-0.18549275,1.7492918,0.042910367,1.7156457,0.11999154,1.4266877,-0.47602847,-0.3569344,-0.13352314,0.4451985,0.19125618,-0.7958353,-0.41678318,0.16768122,0.12326465,0.16830432
6193,0.45839608,-0.112558335,-0.52127117,-0.13023312,0.24007617,-0.5595145,-0.6914411,0.9276618,-1.0061655,-2.3381972,0.5374522,0.12409511,-0.2867368,-0.7933176,-0.2018821,-0.7822899,-0.11880263,1.7871794,0.30134797,-0.49262008,-0.34769836,0.6044655,0.009997513,0.23737605,0.23636897,-0.68540853,0.258287,-0.27829963,-0.51655835,-0.27106303,-1.2405854,-0.90464526,0.115740485,-0.4143955,-0.68720603,-0.37800834,0.350063,-0.36716142,-0.24547446,-0.19784023,-1.2599808,-0.2812264,0.0020365666,0.19919266,-0.56968975,-0.846042,-0.37459913,-1.114498,-0.09459039,0.2278004,0.08611564,-0.07707665,-1.1729625,-0.35703936,-1.1038388,-0.88537246,1.505278,-1.8522186,-0.4585054,-0.6538438,-0.9385066,-0.8612192,0.12017613,0.39341316,-2.2389019,-0.08000762,-0.32899055,0.57672125,-0.18922965,-0.53698164,0.02155141,-0.21277018,0.15694624,-0.37300983,-0.30848798,-0.30712283,0.38428098,-0.82679385,-0.2984636,-1.4000374,-0.5092888,-0.7847874,-0.87669593,-0.14348646,-0.80803704,-0.6170724,0.3340666,0.010673295,-0.19277124,-0.2510794,-0.04015218,-0.80006045,-1.3004042,-1.1144545,-0.44163516,-0.5585939,-0.10906273,-0.5399838,0.025275866,-0.52253467,0.054439265,-0.008275496,-0.16902189,0.71780986,0.43936706,0.5907414,-1.6492572,0.29481015,0.33645812,0.9123239,-0.540351,0.311506,-0.5163433,-0.98537093,0.8045288,0.052636597,0.10689765,0.41251275,-0.57897425,-0.589351,-0.29039627,-0.47979376,-0.65207434,-0.6987938,-0.057060465,-0.17857973
23,-0.013901018,-0.11628333,-0.10293452,0.3434113,0.0046424516,1.5584154,0.7447357,-0.7593407,-0.15275823,5.8910546,1.3177167,1.7930514,-0.12839085,-0.2615167,-0.54830194,0.12367817,-0.29057017,1.7097212,0.8948794,0.063996315,0.115550496,0.45497528,0.31110853,-0.07937085,-0.17991726,0.3167335,-0.29959533,-0.01660344,-0.0027447012,-0.009314825,-0.10194982,0.4824648,-0.82668155,0.32654735,0.120193414,0.047210712,-0.6750005,0.27363905,-0.08320551,0.43430716,-0.20127557,-0.17793341,-0.34753942,-0.0031909645,-0.19494207,-0.28200513,0.09278209,-0.41865075,0.17883512,-0.15997832,-0.17732549,7.0003567,1.5514512,1.9691175,0.68794155,-0.35837734,0.6137135,0.86100316,-0.11445695,-0.09950759,-0.02827867,1.2009583,-0.5142841,0.004714772,1.4184799,1.4183621,-0.675658,0.079175614,-0.1284649,-0.02418036,-0.2389982,-1.0163866,-0.44274402,-0.21196087,-0.050737727,-0.1170268,-0.2658016,0.16649382,2.0661335,1.5740895,0.78873044,0.725488,-1.4914474,0.14740099,-0.2993934,0.09663216,-0.13880159,-0.14391883,-0.47931194,-0.20103204,0.11734166,-0.41250882,0.23791882,1.5906223,0.10632308,-0.057720173,0.15446211,-0.0312132,-0.25645974,-0.34201416,-0.27339295,-0.25883314,0.35324177,0.150248,-0.5326362,-0.17696099,-0.02835385,0.5106041,0.24026364,0.9863296,-0.504111,0.42745924,-0.21560489,0.45146814,-0.6002125,0.015626855,0.6990381,0.0092360815,0.04095445,-0.033204984,0.4399688,0.43982756,0.16628055,0.4402937,0.048169386,0.07978659
9552,0.22477777,-0.28857502,-0.3123773,-0.16842,-0.46406433,-0.13180317,0.33913538,1.2646526,1.2437378,4.625013,3.508472,2.8299742,0.97896236,0.4906384,0.5791724,-0.6308729,0.08677948,1.2275579,1.6139235,0.2758106,0.04052541,1.2689106,0.8953829,1.3395423,-0.05020589,-0.052321423,-0.35747775,-0.30456865,-0.116436616,0.34390604,0.2355719,0.20851593,1.1128913,1.544698,-0.051212672,0.7339356,0.18924265,0.8637276,0.106681414,0.5697208,0.39994335,-0.26169184,-0.25462356,-0.12748086,-0.30588147,0.08215038,-0.16430105,-3.114174,-4.4641604,-0.6632115,-2.7804344,0.1437848,0.018805603,0.6225897,-2.1463206,-0.51219326,-0.12868117,-0.047811773,-2.321977,-0.47251415,0.2836486,0.42456827,0.03544581,-0.18233173,0.87342834,1.3257399,0.15593024,-0.5940748,-0.35249054,-0.7720306,-0.49982083,0.23763692,0.4710069,-0.27253518,0.060216784,-0.43235838,-0.8788301,-0.78050286,-0.46248284,-8.020034,1.8858156,1.1521548,4.0382824,4.280888,-0.024132803,0.2910693,-0.5987728,0.93188256,-0.13014121,-1.1860551,-0.04609577,-0.90635777,0.2643607,-0.7029903,0.47820923,-0.62011415,0.14982812,-0.21036889,0.008084754,-0.26508042,-0.23563159,-0.21483329,0.43410477,-0.1469825,0.3915473,-0.13116825,0.23337923,-0.41180155,0.16650955,-0.82905036,0.3694689,0.39435562,-0.09183315,1.0674515,-0.89176285,-0.3680725,-0.18444519,-0.047064263,-0.5729662,0.7401581,0.6448112,-0.56035167,0.042486608,0.3235815,-0.17617641,0.3965005
387,0.028894315,-0.11234999,-0.079373725,0.029102346,0.29296955,-0.4213163,-0.7521105,-0.4108992,-1.1771715,-6.5360394,-0.5747044,-1.5577296,-1.2262981,-1.145619,-0.5899049,-0.19164078,-0.26253656,0.2939733,0.7465694,-0.5284302,-0.37827554,-0.14118926,-0.55098444,0.15044574,-0.14648534,-0.8501145,0.35410628,-0.31660417,-0.4729412,-0.4320372,-0.6847825,-0.84862095,-0.693995,-0.6454254,-0.2785499,0.89520836,0.1173465,0.44184133,0.083403945,1.1273417,-0.569662,0.4390438,0.54985523,0.22831035,0.024876058,0.065729596,-1.0917609,0.5761707,1.2115748,-0.029709706,0.34797224,-4.5085096,-1.2819071,-1.3096528,-6.630759,-0.5993522,-0.9788644,-0.6288345,-2.4663603,-0.6138238,0.64067334,0.42037943,0.2478214,0.1118207,0.2714202,2.3135588,0.45783362,0.4781052,-0.45929524,0.2256546,0.22045451,0.52453905,-0.021305224,0.14854866,0.20247823,-0.07366643,0.2781975,-0.9059503,-1.5597429,2.318967,-0.56371933,-1.8856505,-1.2538316,-1.0347432,0.24346077,-0.15484427,0.51914984,-0.6217292,0.3631514,0.00286295,0.17216708,0.7567299,-0.44494447,-2.8363388,-0.6339672,0.04685967,0.24742956,0.25451976,0.55846745,0.18728738,0.3089709,0.30390063,0.16759436,-0.32347524,0.78703165,0.43160918,-0.086498566,-0.04327816,0.28601474,-0.5241545,-0.1023196,0.043422204,-0.8101318,-1.0679437,0.056241468,0.33423397,-0.06329327,0.04051326,-0.20178814,-0.6758593,0.2429538,-0.21882582,-0.15197219,0.22206517,-0.038358845,-0.3600066
10921,0.38974628,0.67913336,0.3904538,-0.004008208,0.494994,-0.3306165,0.7208999,0.5480149,-0.3392252,-4.5466,-3.396711,-1.8762293,-0.7378822,-0.3167807,-0.2600862,1.0613422,-0.21631537,-6.73125,-5.471725,0.2570643,0.0964675,0.5910684,-0.74077696,-0.8087666,0.38790205,0.8296636,0.10369142,0.45609203,-0.2492047,0.27240285,0.31922367,-1.1524587,-3.0575676,-2.2541525,0.16208485,-0.35413435,0.7874243,-0.38766602,-0.15583372,-0.06776627,-0.6208411,0.23736598,-0.06357989,-0.21857774,-0.592502,0.4272304,-0.262356,-0.5947324,-0.348064,-0.40196976,-0.70542806,-3.5914752,1.0240612,-2.4592628,-1.9080491,-0.6323815,-2.4593897,0.39406216,-3.210249,-1.878683,-0.17261,0.5516341,-0.6097,0.39218792,-0.03383243,0.61296326,-0.4387993,0.5813797,0.8299661,0.3608955,0.3862408,-0.26235208,-0.2214637,0.37519395,-0.094557226,0.42317304,0.6386099,0.6121646,-2.4668114,-1.1690488,-1.0198352,-1.3669773,-0.65328246,-0.41758493,0.8178251,0.15112051,0.35991287,-1.7212726,-0.26759544,-0.5266017,0.4895195,0.6889911,-1.3487116,-1.0258961,-1.1447786,-0.029127777,0.23914808,-0.118500076,0.06654974,0.24038543,-0.32183525,0.4509261,0.64206004,0.7155397,-0.22304583,-0.2465043,-0.3202953,0.022541305,0.2843815,0.22710109,0.4524598,-0.5745885,0.9770007,-1.1366261,0.22918357,1.5176498,0.19492859,0.4377864,-0.094617225,-0.13593985,0.083774954,0.3240148,1.1365839,0.29800823,0.19861668,-0.55184364
10285,0.39757493,0.17369168,-0.025379324,0.038920727,-0.38640815,0.112405814,0.46746078,-0.93797284,-0.55910057,8.029328,6.2663445,1.828198,-1.4021949,-0.9980639,-1.2555537,0.18739904,-0.1188473,-1.3991917,-0.113034286,-0.78190655,-0.037491586,0.8845418,-0.40014338,0.8587873,0.04230918,-0.2544233,-0.16851825,0.2887987,0.13517228,-0.7393689,-0.5068299,0.26109323,-0.78389406,-1.1233379,0.16067345,-0.682555,0.50799626,-0.65621275,0.07214719,-0.48413542,-0.450672,0.01065586,0.011318718,0.34062323,-0.371799,-0.7334795,0.37556526,-0.40298337,-1.064619,-1.629019,-0.1069799,3.7181365,2.6540668,1.6543654,1.062749,-1.2129151,-0.10067226,-0.5386898,3.7021828,0.22486115,0.15942709,-1.3653804,0.087687045,-0.04204547,-1.6354733,-2.1459048,0.0738529,-0.56848186,0.5762487,0.1551203,0.11928005,-0.2975477,-0.28712744,0.06793005,0.18894142,-0.09743192,-0.011918128,0.6788147,-1.696535,-3.2932503,0.0507344,0.28998658,-0.6883976,-0.95298535,-0.51945394,-0.48568562,0.15946464,-0.38225213,-0.21735294,-0.0051035085,-0.33369407,-0.4047859,-0.8389036,0.7460827,-0.7931104,-0.4619784,-0.23190807,0.20692055,-0.32660532,0.22858234,-0.026364027,0.11134163,1.0544968,0.47650862,-0.40949956,-0.36103848,0.03913529,0.29115954,0.30914375,0.36736885,-0.28986934,-0.1795911,0.003526633,-1.1745367,-0.13944834,-0.011315968,0.0867376,-0.12212405,-1.1595519,-0.35879877,-0.328727,-0.11199409,-0.37376893,-0.30432287,-0.4476707,-0.2952707
533,0.47652665,0.36340836,0.079780005,0.20451401,0.294196,-0.5356414,0.78628355,-1.6103745,-1.4563093,-1.5095996,6.860304,2.8014524,-1.1521281,-0.26779282,-1.3467937,0.123013854,0.024902454,3.3150263,2.5959036,0.07614907,-0.6244988,-1.4140406,-0.8232387,-0.8451114,0.11488382,-0.40883878,-0.40604618,-0.064885795,-0.44770044,-1.0572023,0.016212659,-0.17616011,-1.978245,-1.1720092,-0.21919219,-1.6851307,0.15849239,-1.8291725,-0.54310805,-0.6774803,-0.9776907,-0.18652923,0.13308911,0.24948859,-0.14401843,0.1261309,0.1491448,0.7886379,1.2928157,0.6777194,0.69571894,-0.70164275,1.7517958,2.6048067,0.01630354,2.1583335,0.32311296,-0.83811206,-0.95152324,1.1622133,0.548621,-1.7747159,0.3090069,-0.18666625,-2.4582171,-1.6643853,0.34697792,0.048583385,0.5660597,0.21560913,0.12313504,-0.029567799,-0.20175959,0.37466118,0.042297993,-0.41912055,0.43505982,0.0825514,2.7350843,2.0225275,1.7313639,1.0827416,-0.4974165,-0.00884984,0.12555735,-0.3856752,0.24836993,-0.39186373,-0.51769656,0.10496402,-0.46833542,-0.43437245,1.3364232,0.15483882,0.7102296,-0.21881175,-0.46767572,-0.72321016,0.3681513,0.1252354,0.021897867,-0.07225513,0.95191866,1.0024133,0.28601155,0.17336784,-0.119826816,0.44800043,0.58045024,-0.40839413,0.09356457,-0.56878656,-0.1319512,-1.0985581,-0.13503122,0.18488318,-0.22001152,-0.07651425,-0.3207757,-0.5815948,-1.0343698,0.0026525408,-0.731843,-0.18306817,-0.29687494,-0.41068995
6194,-0.15239592,-0.034558337,-0.14644572,-0.24537247,-0.2237255,0.02824218,-0.07333311,0.8145606,0.049278576,-2.107641,-2.061069,-0.9249144,-0.36970693,-0.098554246,-0.52081704,0.24396081,-0.16879587,-3.2902339,-4.5506544,0.07469106,-0.069268495,0.35209805,-0.7113223,-0.49952063,-0.20812994,0.98551893,-0.5020427,0.02366404,-0.4608839,0.21938902,0.042871464,0.6284154,0.12493059,-0.53880984,0.20710748,0.1456853,0.48502946,-0.5367324,0.13447045,0.1500009,-1.7080077,-0.114850104,-0.43587852,-0.35436997,-0.124982424,-0.3948762,-0.32849264,-0.00017037656,-0.19666524,0.03410936,-0.47660473,2.3669486,-1.0899959,-1.517532,-1.3371677,-1.448362,0.84819925,0.9008582,1.1483961,-0.7753579,0.3827901,-0.161143,-0.12162343,0.23734455,-0.92566437,0.06823742,-0.11266568,-0.13060795,0.39050195,-0.1919684,-0.024098407,-0.17254545,-0.4376352,0.36599874,0.109829396,0.045601558,0.2599353,0.18672569,-2.431874,-3.275848,-1.8292247,-0.3603487,-0.010944243,0.22009641,0.13675258,-0.6038423,0.08672073,-0.063858815,0.46820164,0.86635953,0.06714649,0.5500044,-1.0527018,0.34079656,-0.9620917,-0.047393724,-0.3019186,-0.16174059,-0.3752668,-0.1271575,-0.22426604,0.07392556,-0.6364116,0.11795243,-0.08418871,0.0143598365,-0.63457155,-0.60798365,-0.011655286,-0.31565604,-0.44848356,0.037721545,-0.22500604,0.29977405,0.006009847,-0.23078452,0.3272022,0.22946398,-0.51204264,-0.041411057,0.11684309,-0.055992898,0.008601613,-0.2834538,-0.23160927,-0.23769666
