"nct_id","disease","drug"
"NCT02546765","Delirium","IV acetaminophen & IV propofol"
"NCT02546765","Delirium","IV acetaminophen & IV dexmedetomidine"
"NCT02546765","Delirium","IV propofol & placebo"
"NCT02546765","Delirium","IV dexmedetomidine & placebo"
"NCT02516592","COPD","QVA149 110/50 micrograms"
"NCT02516592","COPD","Salmeterol/fluticasone 50/500 microgrammes"
"NCT02554890","Acute Heart Failure","sacubitril/valsartan (LCZ696)"
"NCT02554890","Acute Heart Failure","sacubitril/valsartan (LCZ696) matching placebo"
"NCT00084136","HIV Infections","Emtricitabine/Tenofovir disoproxil fumarate"
"NCT00084136","HIV Infections","Lamivudine/Zidovudine"
"NCT02457325","Impacted Third Molar Tooth","Surgery with 2%Articaine first, then Surgery with 4% Articaine"
"NCT02457325","Impacted Third Molar Tooth","Surgery with 4%Articaine first, then Surgery with 2% Articaine"
"NCT02457325","Adverse Reaction to Other Local Anesthetics","Surgery with 2%Articaine first, then Surgery with 4% Articaine"
"NCT02457325","Adverse Reaction to Other Local Anesthetics","Surgery with 4%Articaine first, then Surgery with 2% Articaine"
"NCT02455518","Pain","Oxycodone/acetaminophen"
"NCT02455518","Pain","Hydrocodone/acetaminophen"
"NCT02455518","Pain","Codeine/acetaminophen"
"NCT02455518","Pain","Ibuprofen/acetaminophen"
"NCT02451137","Diabetes Mellitus, Type 2","Insulin glargine, 300 U/ml"
"NCT02451137","Diabetes Mellitus, Type 2","Insulin glargine, 100 U/ml"
"NCT02445339","Alcohol Dependence","XR-NTX+CM (Extended-Release Naltrexone plus Care Management)"
"NCT02445339","Alcohol Use Disorder","XR-NTX+CM (Extended-Release Naltrexone plus Care Management)"
"NCT00803400","Panic Disorder","Alprazolam + Aerobic exercise"
"NCT02970669","Heart Failure, Reduced Ejection Fraction","sacubitril/valsartan (LCZ696)"
"NCT02970669","Heart Failure, Reduced Ejection Fraction","matching placebo sacubitril/valsartan (LCZ696)"
"NCT02969590","Fertility","Estrogen and Progesterone Replacement"
"NCT02969590","Contraception","Estrogen and Progesterone Replacement"
"NCT00869622","Bone Loss","Placebo + Calcium and Vitamin D"
"NCT00869622","Osteoporosis","Placebo + Calcium and Vitamin D"
"NCT00869622","Fractures","Placebo + Calcium and Vitamin D"
"NCT03207451","Coronary Artery Disease","Vorapaxar and Aspirin"
"NCT03207451","Coronary Artery Disease","Vorapaxar and Clopidogrel"
"NCT03207451","Coronary Artery Disease","Vorapaxar, Aspirin, and Clopidogrel"
"NCT02376192","Pregnancy","Bolus Phenylephrine/Ephedrine Treatment"
"NCT00603681","Constipation","Polyethylene glycol 4000 with electrolytes"
"NCT03350672","Hiv","FTC/TAF"
"NCT03346070","Neuromuscular Blockade","Sugammadex 2 mg/kg ABW"
"NCT03346070","Neuromuscular Blockade","Sugammadex 2 mg/kg IBW"
"NCT03346070","Neuromuscular Blockade","Sugammadex 4 mg/kg ABW"
"NCT03346070","Neuromuscular Blockade","Sugammadex 4 mg/kg IBW"
"NCT03346070","Neuromuscular Blockade","Neostigmine + Glycopyrrolate"
"NCT03346057","Reversal of Neuromuscular Blockade","Sugammadex 2 mg/kg"
"NCT03346057","Reversal of Neuromuscular Blockade","Sugammadex 4 mg/kg"
"NCT03346057","Reversal of Neuromuscular Blockade","Sugammadex 16 mg/kg"
"NCT03346057","Reversal of Neuromuscular Blockade","Neostigmine + Glycopyrrolate"
"NCT03235154","Hepatitis C, Chronic","sofosbuvir/velpatasvir"
"NCT03235154","Hepatitis C","sofosbuvir/velpatasvir"
"NCT03235154","Opiate Dependence","sofosbuvir/velpatasvir"
"NCT03229486","Emergence Delirium","Neostigmine+Glycopyrronium"
"NCT03207451","Peripheral Vascular Disease","Vorapaxar and Aspirin"
"NCT03207451","Peripheral Vascular Disease","Vorapaxar and Clopidogrel"
"NCT03207451","Peripheral Vascular Disease","Vorapaxar, Aspirin, and Clopidogrel"
"NCT03207451","Myocardial Infarction","Vorapaxar and Aspirin"
"NCT03207451","Myocardial Infarction","Vorapaxar and Clopidogrel"
"NCT03207451","Myocardial Infarction","Vorapaxar, Aspirin, and Clopidogrel"
"NCT03111108","Hepatitis C Virus (HCV) Infection","EBR/GZR (50 mg/100 mg) FDC"
"NCT03093415","Hepatitis C","elbasvir-grazoprevir (50 mg/100 mg)"
"NCT03093415","Substance Use Disorders","elbasvir-grazoprevir (50 mg/100 mg)"
"NCT03093415","Substance Abuse, Intravenous","elbasvir-grazoprevir (50 mg/100 mg)"
"NCT03034915","Pulmonary Disease, Chronic Obstructive","UMEC/VI 62.5/25 mcg via ELLIPTA"
"NCT02956057","Colonoscopy","Natrium picosulfate / Magnesium citrate"
"NCT02956057","Colonoscopy","Polyethylene glycol / Ascorbic acid"
"NCT02770248","Glaucoma","Brinzolamide 1%/brimonidine 0.2% tartrate ophthalmic suspension"
