dname_drug1,molecular_formula_drug1,smiles_drug1,dname_drug2,molecular_formula_drug2,smiles_drug2,cell_line_name,disease_cui,latent_0_drug1,latent_1_drug1,latent_2_drug1,latent_3_drug1,latent_4_drug1,latent_0_drug2,latent_1_drug2,latent_2_drug2,latent_3_drug2,latent_4_drug2,drug1_target_count,drug2_target_count,proteins_in_LCC,oc_drug1_drug2,oc_dis_drug1,oc_dis_drug2,ji_drug1_drug2,ji_dis_drug1,ji_dis_drug2,min_spl_dis_dru1,Closest_distance_dis_dru1,Dc_mean_dis_dru1,Dc_std_dis_dru1,Dc_zscore_dis_dru1,min_spl_dis_dru2,Closest_distance_dis_dru2,Dc_mean_dis_dru2,Dc_std_dis_dru2,Dc_zscore_dis_dru2,min_spl_dru1_dru2,obs_sep_dru1_dru2,sep_mean_dru1_dru2,sep_std_dru1_dru2,zscore_dru1_dru2,pvalue_dru1_dru2,ratio_links_dis_dru1,ratio_links_dis_dru2,synergy_zip,synergy_loewe,synergy_hsa,synergy_bliss
5-Fluorouracil,C4H3FN2O2,C1=C(C(=O)NC(=O)N1)F,Bortezomib,C19H25BN4O4,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,HT29,C0338106,0.038675986,0.060641736,-0.25074658,0.06904244,-0.053468525,0.432284,1.4101224,2.739043,0.86354136,-1.2017273,1,3,238.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.642,0.4876843241278111,0.7340814176060667,1.0,1.0,1.0443333333333336,0.1761662724688115,-0.2516561922554292,2.0,-inf,-inf,,,,0.0,0.0512423491693383,2.11244225223227,-1.46333811548428,3.05847081279643,2.24830115595407
5-Fluorouracil,C4H3FN2O2,C1=C(C(=O)NC(=O)N1)F,Dasatinib,C22H26ClN7O2S,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=NC(=NC(=C3)N4CCN(CC4)CCO)C,HT29,C0338106,0.038675986,0.060641736,-0.25074658,0.06904244,-0.053468525,-0.07183958,-0.00080411753,-0.086573705,0.114251636,0.12668216,1,10,238.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.642,0.4876843241278111,0.7340814176060667,1.0,1.0,1.0089,0.0938658084714556,-0.094816207785675,2.0,-inf,-inf,,,,0.0,0.0565339519446635,-0.328968727078836,5.71872460938834,8.31294722529341,-1.32292393866401
5-Fluorouracil,C4H3FN2O2,C1=C(C(=O)NC(=O)N1)F,Erlotinib,C22H23N3O4,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,HT29,C0338106,0.038675986,0.060641736,-0.25074658,0.06904244,-0.053468525,-0.053044267,0.06918139,-0.20834954,0.08374546,0.038711086,1,2,238.0,0.0,0.0,1.0,0.0,0.0,0.0084033613445378,2.0,2.0,1.642,0.4876843241278111,0.7340814176060667,0.0,0.0,1.297,0.2771118907589496,-4.680419871005164,2.0,-inf,-inf,,,,0.0,0.0938018242122719,5.58744424119803,7.53403032545108,11.7186164261594,7.19910915547266
5-Fluorouracil,C4H3FN2O2,C1=C(C(=O)NC(=O)N1)F,Lapatinib,C29H26ClFN4O4S,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,HT29,C0338106,0.038675986,0.060641736,-0.25074658,0.06904244,-0.053468525,0.025083175,0.012112469,-0.33900538,0.04253316,-0.08140227,1,2,238.0,0.0,0.0,1.0,0.0,0.0,0.0084033613445378,2.0,2.0,1.642,0.4876843241278111,0.7340814176060667,0.0,0.0,0.9145,0.1947812876022745,-4.69500952199949,2.0,-inf,-inf,,,,0.0,0.0632462686567164,4.27627079425863,4.66261124152207,7.42230557222891,3.06349701257253
5-Fluorouracil,C4H3FN2O2,C1=C(C(=O)NC(=O)N1)F,Sorafenib,C21H16ClF3N4O3,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,HT29,C0338106,0.038675986,0.060641736,-0.25074658,0.06904244,-0.053468525,-0.09031988,0.05298067,-0.095041685,0.06507606,0.020801008,1,10,238.0,0.0,0.0,0.2,0.0,0.0,0.008130081300813,2.0,2.0,1.642,0.4876843241278111,0.7340814176060667,0.0,0.9,1.1135,0.124047369984212,-1.721116699428395,2.0,-inf,-inf,,,,0.0,0.0785112659317768,-2.69757267710003,-6.01254393933947,1.58940500287972,-3.7480793138298
5-Fluorouracil,C4H3FN2O2,C1=C(C(=O)NC(=O)N1)F,Sunitinib,C22H27FN4O2,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C,HT29,C0338106,0.038675986,0.060641736,-0.25074658,0.06904244,-0.053468525,0.03032278,0.04484181,-0.34433344,0.06865776,-0.13290855,1,8,238.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.642,0.4876843241278111,0.7340814176060667,1.0,1.125,1.1529464285714284,0.1505048635986118,-0.1856845546597083,3.0,-inf,-inf,,,,0.0,0.0681347279378319,6.88783438132035,7.89047463564382,14.4813323290806,6.77275284938329
5-Fluorouracil,C4H3FN2O2,C1=C(C(=O)NC(=O)N1)F,Vorinostat,C14H20N2O3,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,HT29,C0338106,0.038675986,0.060641736,-0.25074658,0.06904244,-0.053468525,0.17290325,-0.017249381,-0.29870108,0.23054022,-0.08890957,1,4,238.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.642,0.4876843241278111,0.7340814176060667,1.0,1.0,0.95775,0.1314436666408846,0.3214304734470823,2.0,-inf,-inf,,,,0.0,0.0550092290231879,0.693674537056084,0.328811178925804,5.75899176658058,0.985559132277237
doxorubicin,C27H29NO11,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,Bortezomib,C19H25BN4O4,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,HT29,C0338106,0.07928624,-0.25512946,0.5047785,-0.07861761,-0.0914699,0.432284,1.4101224,2.739043,0.86354136,-1.2017273,1,3,238.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.114,0.3937054736728968,-0.2895565533709469,1.0,1.0,1.0443333333333336,0.1761662724688115,-0.2516561922554292,2.0,-inf,-inf,,,,0.074074074074074,0.0512423491693383,-1.30307305996249,-6.11393403188008,-1.86417480358831,-2.79324107867984
doxorubicin,C27H29NO11,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,Dasatinib,C22H26ClN7O2S,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=NC(=NC(=C3)N4CCN(CC4)CCO)C,HT29,C0338106,0.07928624,-0.25512946,0.5047785,-0.07861761,-0.0914699,-0.07183958,-0.00080411753,-0.086573705,0.114251636,0.12668216,1,10,238.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.114,0.3937054736728968,-0.2895565533709469,1.0,1.0,1.0089,0.0938658084714556,-0.094816207785675,2.0,-inf,-inf,,,,0.074074074074074,0.0565339519446635,0.669440429482582,7.29322552780193,11.0162943885655,0.600419611500509
doxorubicin,C27H29NO11,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,Erlotinib,C22H23N3O4,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,HT29,C0338106,0.07928624,-0.25512946,0.5047785,-0.07861761,-0.0914699,-0.053044267,0.06918139,-0.20834954,0.08374546,0.038711086,1,2,238.0,0.0,0.0,1.0,0.0,0.0,0.0084033613445378,1.0,1.0,1.114,0.3937054736728968,-0.2895565533709469,0.0,0.0,1.297,0.2771118907589496,-4.680419871005164,2.0,-inf,-inf,,,,0.074074074074074,0.0938018242122719,2.34265878719253,1.96851199703966,6.21834648568967,1.83026235868899
