name,synonyms,cellosaurus_accession,disease_id,id,tissue_id,depmap_id,cell_model_passport_id,cosmic_id,ccle_name,expression_data,UMLS_CUI,Tumour_Location
786-0,786-0; 786O; 786-0; 786.O; 786-O RCC; RCC 786-O; RCC_7860; RCC 7860; 7860; 786-0WT,CVCL_1051,C9385,1,5.0,ACH-000649,SIDM00125,905947.0,786O_KIDNEY,BROAD_DepMap,,Kidney (Carcinoma; Clear cell renal cell carcinoma)
A2058,A2058; A 2058; A-2058,CVCL_1059,C3802,2,10.0,ACH-000788,SIDM00797,906792.0,A2058_SKIN,BROAD_DepMap,C0206735,Skin (Malignant melanoma)
A2780,A2780; A-2780; 2780; A2780S,CVCL_0134,C7979,3,8.0,ACH-000657,SIDM00210,906804.0,A2780_OVARY,BROAD_DepMap,C0346163,Ovary (Carcinoma; Adenocarcinoma)
A375,A375; A 375; A375; A375-MEL; A375-mel; A375mel,CVCL_0132,C3802,4,10.0,ACH-000219,SIDM00795,906793.0,A375_SKIN,BROAD_DepMap,C0206735,Skin (Malignant melanoma)
A427,A427; A427,CVCL_1055,C3512,5,7.0,ACH-000757,SIDM00810,910851.0,A427_LUNG,BROAD_DepMap,C0152013,Lung (Carcinoma)
A498,A498; A498,CVCL_1056,C9385,6,5.0,ACH-000555,SIDM00124,905948.0,A498_KIDNEY,BROAD_DepMap,C1861854,Kidney (Carcinoma)
A549,A549; A 549; A549; NCI-A549; A549/ATCC; A549 ATCC; hA549,CVCL_0023,C3512,7,7.0,ACH-000681,SIDM00903,905949.0,A549_LUNG,BROAD_DepMap,C0152013,Lung (Carcinoma)
ACHN,ACHN; ACHN,CVCL_1067,C6975,8,5.0,ACH-000046,SIDM00123,905950.0,ACHN_KIDNEY,BROAD_DepMap,C1306837,Kidney (Carcinoma; Renal cell carcinoma)
BT-549,BT-549; BT549; BT 549; BT.549,CVCL_1092,C4194,9,2.0,ACH-000288,SIDM00122,905951.0,BT549_BREAST,BROAD_DepMap,C1134719,Breast (Carcinoma; Ductal carcinoma; Papillary)
CAKI-1,CAKI-1; CAKI-1; CaKi-1; caki-1; CAKI.1; CAKI1; Caki1,CVCL_0234,C4033,10,5.0,ACH-000433,SIDM00941,905963.0,CAKI1_KIDNEY,BROAD_DepMap,C4225533,Kidney (Carcinoma; Clear cell renal cell carcinoma)
CAOV3,CAOV3; CaOv-3; CaOV-3; CAOV-3; CAOV3; CaOV3; CaOv3; Caov3; CA-OV-3,CVCL_0201,C105555,11,8.0,ACH-000713,SIDM00919,906825.0,CAOV3_OVARY,BROAD_DepMap,C3642254,Ovary (Carcinoma; Adenocarcinoma)
CCRF-CEM,CCRF-CEM; CCRF/CEM; CCRFCEM; CCRF.CEM; CCRF CEM; CCRF; CEM; CEM-CCRF; CEM-CCRF (CAMR); CCRF/CEM/0; CEM/0; CEM-0; CCRF-CEM/S; GM03671,CVCL_0207,C7953,12,4.0,ACH-001738,SIDM00121,905952.0,CCRFCEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CellModelPassport,C0279583,Haematopoietic and lymphoid (Lymphoid neoplasm; Acute lymphoblastic leukaemia)
COLO 205,COLO 205; Colo 205; CoLo 205; COLO-205; Colo-205; COLO.205; Colo205; COLO205; Co 205,CVCL_0218,C4349,13,6.0,ACH-001039,SIDM00826,905961.0,COLO205_LARGE_INTESTINE,CellModelPassport,C0338106,Large intestine; Colon (Carcinoma; Adenocarcinoma)
COLO320DM,COLO320DM; COLO-320DM; COLO-320-DM; COLO320/DM; COLO320-DM; COLO320DM; COLO320 DM; COLO 320 DM,CVCL_0219,C4349,14,6.0,,,,,,C0338106,No COSMIC ID
DLD1,DLD1; DLD1,CVCL_0248,C4349,15,6.0,ACH-001061,SIDM00787,,DLD1_LARGE_INTESTINE,BROAD_DepMap,C0338106,No COSMIC ID
DU-145,DU-145; DU-145; Du-145; DU 145; DU_145,CVCL_0105,C4863,16,9.0,ACH-000979,SIDM00120,905935.0,DU145_PROSTATE,CellModelPassport,C0600139,Prostate (Carcinoma; Adenocarcinoma)
EFM192B,EFM192B; EFM192B,CVCL_1813,C4872,17,2.0,,SIDM01054,1240126.0,,,C0678222,Not Found
EKVX,EKVX; ,CVCL_1195,C2926,18,7.0,ACH-000706,SIDM00119,905970.0,EKVX_LUNG,BROAD_DepMap,C0007131,Lung (Carcinoma; Adenocarcinoma)
ES2,ES2; ES-2,CVCL_3509,C40078,19,8.0,ACH-000906,SIDM00861,1240128.0,ES2_OVARY,BROAD_DepMap,C1518693,Not Found
HCC-2998,HCC-2998; HCC-2998; HCC.2998; HCC 2998,CVCL_1266,C4349,20,6.0,ACH-001081,SIDM00118,905971.0,HCC2998_LARGE_INTESTINE,CellModelPassport,C0338106,Large intestine; Colon (Carcinoma; Adenocarcinoma)
HCT116,HCT116; HCT-116; HCT.116; HCT116,CVCL_0291,C4910,21,6.0,ACH-000971,SIDM00783,905936.0,HCT116_LARGE_INTESTINE,BROAD_DepMap,C0699790,Large intestine; Colon (Carcinoma)
HCT-15,HCT-15; HCT-15; HCT15,CVCL_0292,C4349,22,6.0,ACH-000997,SIDM00789,905937.0,HCT15_LARGE_INTESTINE,BROAD_DepMap,C0338106,Large intestine; Colon (Carcinoma)
HL-60(TB),HL-60(TB); HL-60 (TB); HL-60-TB; HL-60TB; HL-60 TB,CVCL_A794,C9154,23,4.0,,,,,,C0220615,No COSMIC ID
HOP-62,HOP-62; HOP 62; HOP62; Hop62,CVCL_1285,C3512,24,7.0,ACH-000861,SIDM00133,905972.0,HOP62_LUNG,BROAD_DepMap,C0152013,Lung (Carcinoma; Adenocarcinoma)
