name,synonyms,cellosaurus_accession,disease_id,id,tissue_id,depmap_id,cell_model_passport_id,cosmic_id,ccle_name,expression_data,UMLS_CUI,tumour_location
CHP-212,CHP-212; CHP 212; CHP212; NB9; NB-9,CVCL_1125,C3270,260,21.0,ACH-000120,SIDM00910,906820,CHP212_AUTONOMIC_GANGLIA,BROAD_DepMap,C2751421,Autonomic ganglia (Neuroblastoma)
SW1463,SW1463; SW-1463; SW 1463,CVCL_1718,C9383,1491,6.0,ACH-000470,SIDM00834,909748,SW1463_LARGE_INTESTINE,BROAD_DepMap,C0149978,Large intestine; Rectum (Carcinoma; Adenocarcinoma)
Karpas-45,Karpas-45; KARPAS-45; Karpas 45; KARPAS 45; KARPAS45; K45; T-45; T45,CVCL_1326,C7953,731,4.0,ACH-002256,SIDM01007,907272,KARPAS45_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CellModelPassport,C0279583,Haematopoietic and lymphoid (Lymphoid neoplasm; Acute lymphoblastic leukaemia)
LB771-HNC,LB771-HNC; LB771-HNSCC; LB771HNC; LB771-ORL,CVCL_1369,C34447,827,23.0,ACH-002265,SIDM00182,753583,LB771HNC_UPPER_AERODIGESTIVE_TRACT,CellModelPassport,C1168401,Upper aerodigestive tract; Head neck (Carcinoma; Squamous cell carcinoma)
NCI-H2196,NCI-H2196; H2196; H-2196; NCIH2196,CVCL_1539,C4917,1076,7.0,ACH-000399,SIDM00731,908481,NCIH2196_LUNG,BROAD_DepMap,C0149925,Lung (Carcinoma; Small cell carcinoma)
IGROV1,IGROV1; IGROV1; IGROV 1; IGR-OV1; Igrov-1; IGR.OV1; IGROV; OV1/P; OV1/p; OV1-P,CVCL_1304,C7979,29,8.0,ACH-000966,SIDM00151,905968,IGROV1_OVARY,BROAD_DepMap,C0346163,Ovary (Carcinoma)
NCI-H2030,NCI-H2030; H2030; H-2030; NCIH2030,CVCL_1517,C3512,1058,7.0,ACH-000521,SIDM00715,722045,NCIH2030_LUNG,BROAD_DepMap,C0152013,Lung (Carcinoma; Adenocarcinoma)
NCI-H2803,NCI-H2803; H2803; H-2803; NCIH2803,CVCL_U997,C7376,1099,20.0,ACH-002131,SIDM00309,1240135,NCIH2803_PLEURA,CellModelPassport,C0812413,
L-540,L-540; L 540; L540,CVCL_1362,C9357,818,4.0,ACH-000806,SIDM00329,907323,L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BROAD_DepMap,C0019829,Haematopoietic and lymphoid; Lymph node (Lymphoid neoplasm; Hodgkin lymphoma)
UPCI-SCC-090,UPCI-SCC-090; UPCI-SCC-90; UPCI:SCC090; UPCI:SCC90; UPCI-SCC090; UPCISCC090; SCC090; SCC90,CVCL_1899,C4648,1594,23.0,ACH-001227,SIDM00399,1299052,UPCISCC090_UPPER_AERODIGESTIVE_TRACT,CellModelPassport,C0349566,
