"cellName","cosmicId","tag"
"786-0","905947",
"A498","905948",
"A549/ATCC","905949",
"ACHN","905950",
"CCRF-CEM","905952",
"COLO 205","905961","COLO-205"
"DU-145","905935",
"EKVX","905970",
"HCC-2998","905971","HCC2998"
"HCT-15","905937",
"HCT-116","905936",
"HL-60(TB)","905938","HL-60"
"HOP-62","905972",
"HOP-92","905973",
"HT29","905939","HT-29"
"IGROV1","905968","IGROV-1"
"K-562","905940",
"KM12","905989",
"LOX IMVI","905974","LOXIMVI"
"MALME-3M","905953","Malme-3M"
"MCF7","905946",
"MOLT-4","905958",
"NCI/ADR-RES","905987","NCI-ADR-RES"
"NCI-H23","905942",
"NCI-H226","905941",
"NCI-H322M","905967",
"NCI-H460","905943",
"OVCAR-4","905990",
"OVCAR-8","905991",
"RPMI-8226","905964",
"SF-268","905986","SF268"
"SF-295","905985","SF295"
"SF-539","905984","SF539"
"SK-OV-3","905959",
"SNB-19","905966","SNB19"
"SNB-75","905982","SNB75"
"SR","905965",
"SW-620","905962","SW620"
"U251","905983",
"UACC-257","905977",
"MDA-MB-468","908123",
"T-47D","905945","T47D"
"TK-10","905980","TK10"
"BT-549","905951",
"M14","905975",
"MDA-MB-435","905988","人乳腺癌"
"NCI-H522","905944",
"UACC-62","905976",
"SK-MEL-5","905956",
"OVCAR-5","905969",
"PC-3","905934",
"RXF 393","905978","RXF393"
"SK-MEL-2","905955",
"SN12C","905979",
"UO-31","905981","U031"
"CAKI-1","905963",
"HS 578T","905957","Hs-578-T"
"MDA-MB-231/ATCC","905960","MDA-MB-231"
"OVCAR-3","905933",
"SK-MEL-28","905954",
"A2058","906792",
"A2780","906804",
"A375","906793",
"A427","910851",
"CAOV3","906825",
"COLO320DM",,"人结肠癌"
"DLD1",,"人结肠癌"
"EFM192B",,"EFM-192A"
"ES2","1240128","ES-2"
"HCT116","905936","HCT-116"
"HT144","907067","HT-144"
"KPL1",,"人乳腺癌细胞"
"LNCAP","907788","LNCaP-Clone-FGC"
"LOVO","907790",
"MDAMB436","1240172","MDA-MB-436"
"NCIH1650","687800","NCI-H1650"
"NCIH2122","722046","NCI-H2122"
"NCIH23","905942","NCI-H23"
"NCIH460","905943","NCI-H460"
"NCIH520","908443","NCI-H520"
"OCUBM","909256","OCUB-M"
"OV90","1240197","OV-90"
"OVCAR3","905933","OVCAR-3"
"PA1","909255",
"RKO","909698",
"RPMI7951","910903","RPMI-7951"
"SKMES1","909728","SK-MES-1"
"SKMEL30","909726","SK-MEL-30"
"SKOV3","905959","SK-OV-3"
"SW620","905962",
"SW837","909755",
"T47D","905945",
"UACC62","905976","UACC-62"
"UWB1289","1480374","UWB1.289"
"UWB1289BRCA1",,"人卵巢癌UWB1.289+BRCA1 "
"VCAP","1299075",
"ZR751",,"人乳腺癌细胞"
"MSTO","908152","MSTO-211H"
"A-375","906793","A375"
"COLO 858",,"人黑色素瘤"
"WM-115","909784",
"MMAC-SF","925339",
"MZ7-mel","753596",
"TMD8",,"人弥漫B细胞淋巴瘤"
