	dname_drug1	chembl_id_drug1	dname_drug2	chembl_id_drug2	cell_line_name	NCI_thesaurus_code	disease_cui	drug1_target_count	drug2_target_count	proteins_in_LCC	oc_drug1_drug2	oc_dis_drug1	oc_dis_drug2	ji_drug1_drug2	ji_dis_drug1	ji_dis_drug2	min_spl_dis_dru1	Closest_distance_dis_dru1	Dc_mean_dis_dru1	Dc_std_dis_dru1	Dc_zscore_dis_dru1	min_spl_dis_dru2	Closest_distance_dis_dru2	Dc_mean_dis_dru2	Dc_std_dis_dru2	Dc_zscore_dis_dru2	min_spl_dru1_dru2	obs_sep_dru1_dru2	sep_mean_dru1_dru2	sep_std_dru1_dru2	zscore_dru1_dru2	pvalue_dru1_dru2	ratio_links_dis_dru1	ratio_links_dis_dru2
0	5-Fluorouracil	CHEMBL185	Bortezomib	CHEMBL325041	HT29	C4349	C0338106	1	3	238.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	1.642	0.4876843241278111	0.7340814176060667	1.0	1.0	1.0443333333333336	0.1761662724688115	-0.2516561922554292	2.0	-inf	-inf				0.0	0.0512423491693383
1	5-Fluorouracil	CHEMBL185	Dasatinib	CHEMBL1421	HT29	C4349	C0338106	1	10	238.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	1.642	0.4876843241278111	0.7340814176060667	1.0	1.0	1.0089	0.0938658084714556	-0.094816207785675	2.0	-inf	-inf				0.0	0.0565339519446635
2	5-Fluorouracil	CHEMBL185	Erlotinib	CHEMBL553	HT29	C4349	C0338106	1	2	238.0	0.0	0.0	1.0	0.0	0.0	0.0084033613445378	2.0	2.0	1.642	0.4876843241278111	0.7340814176060667	0.0	0.0	1.297	0.2771118907589496	-4.680419871005164	2.0	-inf	-inf				0.0	0.0938018242122719
3	5-Fluorouracil	CHEMBL185	Lapatinib	CHEMBL554	HT29	C4349	C0338106	1	2	238.0	0.0	0.0	1.0	0.0	0.0	0.0084033613445378	2.0	2.0	1.642	0.4876843241278111	0.7340814176060667	0.0	0.0	0.9145	0.1947812876022745	-4.69500952199949	2.0	-inf	-inf				0.0	0.0632462686567164
4	5-Fluorouracil	CHEMBL185	Sorafenib	CHEMBL1336	HT29	C4349	C0338106	1	10	238.0	0.0	0.0	0.2	0.0	0.0	0.008130081300813	2.0	2.0	1.642	0.4876843241278111	0.7340814176060667	0.0	0.9	1.1135	0.124047369984212	-1.721116699428395	2.0	-inf	-inf				0.0	0.0785112659317768
5	5-Fluorouracil	CHEMBL185	Sunitinib	CHEMBL535	HT29	C4349	C0338106	1	8	238.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	1.642	0.4876843241278111	0.7340814176060667	1.0	1.125	1.1529464285714284	0.1505048635986118	-0.1856845546597083	3.0	-inf	-inf				0.0	0.0681347279378319
6	5-Fluorouracil	CHEMBL185	Vorinostat	CHEMBL98	HT29	C4349	C0338106	1	4	238.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	1.642	0.4876843241278111	0.7340814176060667	1.0	1.0	0.95775	0.1314436666408846	0.3214304734470823	2.0	-inf	-inf				0.0	0.0550092290231879
7	Bortezomib	CHEMBL325041	Dasatinib	CHEMBL1421	HT29	C4349	C0338106	3	10	238.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0443333333333336	0.1761662724688115	-0.2516561922554292	1.0	1.0	1.0089	0.0938658084714556	-0.094816207785675	2.0	0.95	0.1572692307692307	0.1857933001872708	4.266734959935231	1.983545747608062e-05	0.0512423491693383	0.0565339519446635
8	Bortezomib	CHEMBL325041	Sorafenib	CHEMBL1336	HT29	C4349	C0338106	3	10	238.0	0.0	0.0	0.2	0.0	0.0	0.008130081300813	1.0	1.0	1.0443333333333336	0.1761662724688115	-0.2516561922554292	0.0	0.9	1.1135	0.124047369984212	-1.721116699428395	2.0	0.8769230769230771	0.0371653846153846	0.199194560280063	4.215766189232338	2.489315697551397e-05	0.0512423491693383	0.0785112659317768
9	Dasatinib	CHEMBL1421	Sorafenib	CHEMBL1336	HT29	C4349	C0338106	10	10	238.0	0.2	0.0	0.2	0.1111111111111111	0.0	0.008130081300813	1.0	1.0	1.0089	0.0938658084714556	-0.094816207785675	0.0	0.9	1.1135	0.124047369984212	-1.721116699428395	0.0	-0.35	0.0440499999999999	0.1565314584995616	-2.517385347183125	0.0118229442032224	0.0565339519446635	0.0785112659317768
10	doxorubicin	CHEMBL53463	Bortezomib	CHEMBL325041	HT29	C4349	C0338106	1	3	238.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.114	0.3937054736728968	-0.2895565533709469	1.0	1.0	1.0443333333333336	0.1761662724688115	-0.2516561922554292	2.0	-inf	-inf				0.074074074074074	0.0512423491693383
11	doxorubicin	CHEMBL53463	Dasatinib	CHEMBL1421	HT29	C4349	C0338106	1	10	238.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.114	0.3937054736728968	-0.2895565533709469	1.0	1.0	1.0089	0.0938658084714556	-0.094816207785675	2.0	-inf	-inf				0.074074074074074	0.0565339519446635
12	doxorubicin	CHEMBL53463	Erlotinib	CHEMBL553	HT29	C4349	C0338106	1	2	238.0	0.0	0.0	1.0	0.0	0.0	0.0084033613445378	1.0	1.0	1.114	0.3937054736728968	-0.2895565533709469	0.0	0.0	1.297	0.2771118907589496	-4.680419871005164	2.0	-inf	-inf				0.074074074074074	0.0938018242122719
13	doxorubicin	CHEMBL53463	Lapatinib	CHEMBL554	HT29	C4349	C0338106	1	2	238.0	0.0	0.0	1.0	0.0	0.0	0.0084033613445378	1.0	1.0	1.114	0.3937054736728968	-0.2895565533709469	0.0	0.0	0.9145	0.1947812876022745	-4.69500952199949	2.0	-inf	-inf				0.074074074074074	0.0632462686567164
14	doxorubicin	CHEMBL53463	Sorafenib	CHEMBL1336	HT29	C4349	C0338106	1	10	238.0	0.0	0.0	0.2	0.0	0.0	0.008130081300813	1.0	1.0	1.114	0.3937054736728968	-0.2895565533709469	0.0	0.9	1.1135	0.124047369984212	-1.721116699428395	2.0	-inf	-inf				0.074074074074074	0.0785112659317768
15	doxorubicin	CHEMBL53463	Sunitinib	CHEMBL535	HT29	C4349	C0338106	1	8	238.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.114	0.3937054736728968	-0.2895565533709469	1.0	1.125	1.1529464285714284	0.1505048635986118	-0.1856845546597083	2.0	-inf	-inf				0.074074074074074	0.0681347279378319
16	doxorubicin	CHEMBL53463	Vorinostat	CHEMBL98	HT29	C4349	C0338106	1	4	238.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.114	0.3937054736728968	-0.2895565533709469	1.0	1.0	0.95775	0.1314436666408846	0.3214304734470823	2.0	-inf	-inf				0.074074074074074	0.0550092290231879
17	Erlotinib	CHEMBL553	Bortezomib	CHEMBL325041	HT29	C4349	C0338106	2	3	238.0	0.0	1.0	0.0	0.0	0.0084033613445378	0.0	0.0	0.0	1.297	0.2771118907589496	-4.680419871005164	1.0	1.0	1.0443333333333336	0.1761662724688115	-0.2516561922554292	2.0	0.5	-0.1606999999999999	0.3453387370877083	1.913194000684021	0.055723221268159	0.0938018242122719	0.0512423491693383
18	Erlotinib	CHEMBL553	Dasatinib	CHEMBL1421	HT29	C4349	C0338106	2	10	238.0	0.0	1.0	0.0	0.0	0.0084033613445378	0.0	0.0	0.0	1.297	0.2771118907589496	-4.680419871005164	1.0	1.0	1.0089	0.0938658084714556	-0.094816207785675	1.0	-0.2166666666666667	-0.3006666666666667	0.266926123778763	0.3146938141941546	0.7529941413703425	0.0938018242122719	0.0565339519446635
